UT	MJD	Telescope	Exp_time	Filter	mag	mag_err
2023-10-28 14:22:58.224	60245.599285	GIT	900.0	g	20.020070326960276	0.0679538261377362
2023-10-28 20:42:36.720	60245.86292500002	GIT	900.0	r	19.393487093114757	0.0751062615261749
2023-10-28 20:58:42.672	60245.87410499994	GIT	600.0	g	19.89854594714128	0.0650439206739814
2023-10-29 14:39:32.774	60246.61079599988	GIT	900.0	r	19.445447871640155	0.0690428549698096
2023-10-29 15:14:38.947	60246.63517299993	GIT	1200.0	i	19.717466025008203	0.0858401154762062
2023-10-29 20:41:06.518	60246.86188099999	GIT	900.0	r	19.66670337194005	0.0870074195287488
2023-10-29 20:57:18.950	60246.87313600024	GIT	900.0	g	20.118123864237702	0.0659373880175073
2023-10-29 21:16:02.237	60246.88613699982	GIT	1200.0	i	19.667269744914982	0.0760841338881465
2023-10-30 14:22:30.058	60247.59895899985	GIT	900.0	r	19.94136472808601	0.0724881604933787
2023-10-30 14:38:44.045	60247.61023199977	GIT	900.0	g	20.066735300876665	0.0665872912808734
2023-10-30 14:57:29.923	60247.623263000045	GIT	1200.0	i	20.10853369139618	0.1020026596338545
2023-10-31 14:35:46.838	60248.60818100022	GIT	3600.0	z	19.679791972761965	0.1399194946177533
2023-10-31 15:47:35.693	60248.65805200022	GIT	900.0	r	20.05571684931972	0.0837192626916282
2023-10-31 16:04:41.347	60248.66992300004	GIT	900.0	g	20.70275301791834	0.0760672079759351
2023-10-31 16:23:35.088	60248.6830450003	GIT	1200.0	i	19.965084324405822	0.0771927905356272
2023-10-31 21:10:33.053	60248.88232700015	GIT	900.0	r	19.736518123203364	0.087503014165341
2023-10-31 21:24:12.643	60248.8918130002	GIT	600.0	g	20.640071248383784	0.0712619815739576
2023-11-01 13:28:44.832	60249.561629999895	GIT	1200.0	i	20.064272993943728	0.0786153898114719
2023-11-01 13:38:15.418	60249.56823399989	GIT	2700.0	z	19.66722847981396	0.1423286030289428
2023-11-01 13:47:32.266	60249.5746790003	GIT	900.0	g	20.7030301559658	0.0930957275034388
2023-11-01 14:03:41.414	60249.5858959998	GIT	900.0	r	19.787655090411704	0.0800622139172093
2023-10-29 14:55:48.835	60246.62209299998	GIT	900.0	g	20.325632349076145	0.0570923120023116
2023-11-03 14:33:01.469	60251.60626699962	GIT	900.0	g	20.90750679174517	0.0970411589064215
2023-11-03 14:38:44.650	60251.61023900006	GIT	2100.0	i	20.55953957945732	0.082650332514916
2023-11-03 14:49:22.541	60251.617622000165	GIT	900.0	r	20.08651865710653	0.0855326199884606
2023-11-04 13:52:39.677	60252.57823699992	GIT	900.0	g	21.03203180800544	0.0832071271054373
2023-11-04 14:08:42.950	60252.58938599983	GIT	900.0	r	20.05404089136936	0.0838928240182824
2023-11-04 13:28:30.749	60252.56146699982	GIT	1800.0	i	20.96414414367511	0.0942342493792451
2023-11-05 13:23:06.230	60253.55771100009	GIT	900.0	g	20.930119095132287	0.1072178229203783
2023-11-05 13:39:14.170	60253.568913999945	GIT	900.0	r	20.24549179513736	0.0998072629422336
2023-11-05 12:58:56.266	60253.54092899989	GIT	1800.0	i	20.83199436168036	0.080397593462767
2023-11-05 21:11:16.080	60253.88282500021	GIT	900.0	g	20.775294883106245	0.087139740817232
2023-11-05 21:27:33.264	60253.89413499972	GIT	900.0	r	20.31024977621055	0.104190402278216
2023-11-06 13:49:22.944	60254.575960000046	GIT	1200.0	r	20.17657350102689	0.0905368553076995
2023-11-06 14:17:30.077	60254.59548699996	GIT	2100.0	g	20.720716257697383	0.0940328606015774
2023-11-06 20:43:08.947	60254.86329799984	GIT	900.0	r	20.47666772352488	0.0912486726556532
2023-11-06 21:04:51.773	60254.87837699987	GIT	1500.0	g	20.96410065407356	0.0962954915225656
2023-11-07 14:52:17.846	60255.619651000015	GIT	2100.0	g	20.83160054236891	0.1110220508647571
2023-11-07 15:22:03.302	60255.64031600021	GIT	1800.0	r	20.567295077089923	0.0821530310069798
2023-11-07 20:39:08.582	60255.86051600007	GIT	900.0	r	20.59431378225952	0.1024373327561874
2023-11-07 20:58:00.595	60255.87361800019	GIT	1200.0	g	20.822612810446675	0.1027362882853758
2023-11-08 21:25:38.870	60256.89281099988	GIT	1500.0	g	20.696977200745337	0.0848411796932156
2023-11-08 21:49:57.907	60256.90969800018	GIT	1200.0	r	20.48598737211864	0.0845814069194527
2023-11-09 14:47:19.939	60257.61620299984	GIT	1200.0	g	20.860975597102208	0.1147547966394134
2023-11-10 13:21:56.333	60258.556902000215	GIT	1500.0	g	20.802432201861137	0.0954238333408449
2023-11-10 14:58:16.406	60258.62380099995	GIT	3600.0	r	20.36800373608187	0.0845157066419402
2023-11-11 13:04:41.002	60259.54491900001	GIT	1500.0	g	20.619216561281966	0.0946930157189541
2023-11-11 13:34:08.832	60259.56538000005	GIT	1800.0	r	20.377768776739376	0.0916943622526965
2023-11-11 14:18:36.950	60259.59626100026	GIT	2100.0	i	20.21567947314673	0.0890382600116712
2023-11-11 20:39:57.485	60259.86108200019	GIT	1200.0	g	20.65279772141094	0.0947066332447947
2023-11-11 21:04:17.213	60259.87797700008	GIT	1500.0	r	20.209953577499466	0.0858967576356546
2023-10-28 14:41:44.880	60245.61232500011	GIT	1200.0	i	20.17311806127969	0.0977948514137868
2023-11-06 13:39:04.061	60254.56879700022	GIT	2700.0	i	20.83609063917277	0.0835492365482449
2023-11-09 14:09:13.018	60257.58973400016	GIT	3000.0	i	20.47973577888243	0.0774334143239375
2023-11-12 14:31:03.965	60260.60490699997	GIT	1200.0	g	20.53071541798481	0.0894931301868258
2023-11-12 16:14:42.778	60260.67688400019	GIT	1200.0	r	20.044237353385277	0.0943754673898326
2023-11-12 13:53:23.914	60260.578749000095	GIT	3000.0	i	20.539139498455057	0.0853500122467238
2023-11-12 21:33:51.869	60260.89851700002	GIT	900.0	g	20.44498326828253	0.1238480398486421
2023-11-12 21:50:12.595	60260.90986800008	GIT	900.0	r	20.015790113592967	0.1022258120292392
2023-11-13 14:01:07.968	60261.58412000025	GIT	3000.0	i	20.21371475120112	0.0936486530463983
2023-11-13 14:36:15.610	60261.60851399973	GIT	900.0	g	20.263828026734437	0.1023967938712981
2023-11-13 14:55:46.675	60261.622068000026	GIT	1200.0	r	20.1728220301037	0.0912316118962299
2023-11-14 13:43:39.418	60262.57198400004	GIT	3000.0	i	20.16582789890694	0.0803295176971852
2023-11-14 14:18:34.618	60262.59623399982	GIT	900.0	g	20.37860088340232	0.0915409109547445
2023-11-14 14:37:27.581	60262.60934700025	GIT	1200.0	r	20.005822442084188	0.08194214236558
2023-11-14 21:14:53.117	60262.88533699978	GIT	900.0	g	20.14931102610825	0.0767674633831402
2023-11-14 21:33:53.338	60262.89853399992	GIT	1200.0	r	20.01603041626477	0.0850650819204826
2023-11-15 13:31:01.517	60263.56321199983	GIT	3000.0	i	19.87253904182537	0.0667249431049128
2023-11-15 14:06:04.320	60263.58754999982	GIT	900.0	g	20.112500415061792	0.0964790513074447
2023-11-15 14:25:18.365	60263.60090699978	GIT	1200.0	r	19.745073723707605	0.0969323715316532
2023-11-16 16:20:02.285	60264.68058199994	GIT	900.0	g	19.78506972329566	0.085887529932261
2023-11-16 16:39:08.467	60264.69384799991	GIT	1200.0	r	19.52372760701769	0.0792868735196196
2023-11-16 20:34:26.918	60264.85725599993	GIT	1200.0	g	19.784228165542068	0.0754640179296639
2023-11-16 20:56:11.126	60264.87235099962	GIT	1200.0	r	19.67710691094882	0.0815843026718561
2023-11-17 16:59:50.381	60265.70822199993	GIT	3000.0	i	19.483225008082307	0.0878152966225064
2023-11-17 17:42:09.504	60265.73760999972	GIT	900.0	g	19.49260660686596	0.0915280156264537
2023-11-17 18:10:00.566	60265.75695099961	GIT	900.0	r	19.29736500259032	0.0857433620752848
2023-11-18 19:43:09.264	60266.82163499994	GIT	1800.0	i	19.281180302702985	0.069834107062353
2023-11-18 20:12:48.326	60266.84222600004	GIT	600.0	g	19.564681555477488	0.0884102286327235
2023-11-18 20:23:39.523	60266.84976299992	GIT	600.0	r	19.283419850728603	0.0870623300249005
2023-11-18 21:10:11.712	60266.88207999989	GIT	900.0	i	19.10070044601252	0.0873800449516376
2023-11-18 21:23:44.563	60266.891488000285	GIT	600.0	g	19.49060141260433	0.0959031666070134
2023-11-18 21:34:39.821	60266.89907200029	GIT	600.0	r	19.23042516024837	0.145430901384113
2023-11-19 17:47:45.859	60267.741502999794	GIT	900.0	i	19.472274607496733	0.0783999093904199
2023-11-19 18:01:22.426	60267.75095400028	GIT	600.0	g	19.788358912907952	0.081838562285811
2023-11-19 18:12:11.290	60267.75846399972	GIT	600.0	r	19.57009537502656	0.0902089723700136
2023-11-19 20:58:40.253	60267.87407700019	GIT	900.0	i	19.66239356219709	0.0864247993795641
2023-11-19 21:12:18.893	60267.88355199993	GIT	600.0	g	19.692532991949943	0.0761983795787294
2023-11-19 21:23:15.706	60267.89115400007	GIT	600.0	r	19.61749464387872	0.0827524450087701
2023-11-20 17:17:49.430	60268.72071100026	GIT	1200.0	i	19.605389981544988	0.102486162435285
2023-11-20 17:34:11.971	60268.73208300024	GIT	600.0	g	19.72226397724404	0.086913960747068
2023-11-20 17:45:06.797	60268.73966199998	GIT	600.0	r	19.546323053050944	0.0934805419912714
2023-11-21 20:23:59.309	60269.84999200003	GIT	1200.0	i	19.525646686281625	0.0956104019039185
2023-11-21 20:40:07.507	60269.861198000144	GIT	600.0	g	19.61017137273253	0.0846847325218138
2023-11-21 20:51:04.147	60269.86879799981	GIT	600.0	r	19.360608112347887	0.0898025851961109
2023-11-22 17:17:37.507	60270.720573000144	GIT	600.0	g	19.841271406653263	0.0964466088164592
2023-11-22 17:29:29.098	60270.72880899999	GIT	600.0	r	19.695575868908648	0.1045984824936359
2023-11-23 21:20:16.426	60271.88907899987	GIT	600.0	g	19.664477707344325	0.0792033418738639
2023-11-24 16:01:18.134	60272.66757099982	GIT	600.0	g	19.61230489506386	0.0713041571852592
2023-11-24 16:31:17.242	60272.68839399982	GIT	1200.0	r	19.34936454788088	0.0715820167184383
2023-11-24 20:17:01.219	60272.84515299974	GIT	1800.0	i	19.419096602537547	0.1296345437903916
2023-11-24 20:38:40.934	60272.860195999965	GIT	600.0	g	19.46919575525652	0.0914552666025069
2023-11-24 20:52:19.834	60272.86967399996	GIT	900.0	r	19.39966725975586	0.1213673137883008
2023-11-25 16:59:12.019	60273.70777799981	GIT	600.0	g	19.70191292234409	0.1024657728056939
2023-11-25 17:28:47.453	60273.72832700005	GIT	1500.0	r	19.14097349607152	0.0864052429525471
2023-11-30 13:54:08.323	60278.57926300028	GIT	900.0	r	19.22133117477117	0.0920601251514675
2023-12-01 13:00:26.813	60279.54197699996	GIT	600.0	r	19.038319462703804	0.0775963693646154
2023-12-01 13:11:17.405	60279.54950700002	GIT	600.0	g	19.55544165584376	0.075105015186373
2023-12-02 13:01:39.475	60280.54281800008	GIT	1800.0	i	19.775644606608573	0.0843826073840508
2023-12-02 13:23:27.830	60280.55796100013	GIT	600.0	g	19.73871663502197	0.0871415836651072
2023-12-02 13:34:28.272	60280.56560500013	GIT	600.0	r	19.481527304441205	0.1293271994718669
2023-12-02 20:23:50.496	60280.84989000019	GIT	1800.0	i	19.741682340670728	0.1043972303343438
2023-12-02 20:45:27.187	60280.86489799991	GIT	600.0	g	19.550737934440736	0.0949682729481128
2023-12-03 13:13:40.051	60281.55115800025	GIT	1800.0	i	19.763165831490227	0.111243972561076
2023-12-03 13:35:29.530	60281.56631400017	GIT	600.0	g	19.83127900273262	0.0908698733473098
2023-12-03 13:46:31.181	60281.57397200028	GIT	600.0	r	19.529107054436647	0.1269217587519932
2023-12-03 19:12:03.715	60281.80004299991	GIT	1800.0	i	19.642342534993208	0.1178133869050307
2023-12-03 19:33:50.256	60281.81516500004	GIT	600.0	g	19.788231526721205	0.0885794741485579
2023-12-03 19:44:48.365	60281.82278200006	GIT	600.0	r	19.60653045555248	0.1149255660863799
2023-12-07 14:32:06.173	60285.605626999866	GIT	600.0	r	19.69959299447618	0.1452253510534519
2023-12-07 14:43:08.688	60285.61329500005	GIT	600.0	g	20.21854932889781	0.1246420724312438
2023-12-07 19:06:04.378	60285.79588400014	GIT	600.0	r	19.64729362385772	0.0949052902193038
2023-12-07 19:17:06.547	60285.80354799982	GIT	600.0	g	20.195706586215152	0.1017175778698281
2023-12-08 16:39:36.806	60286.69417600008	GIT	1200.0	i	19.78323757523986	0.1158946776655642
2023-12-08 16:55:44.227	60286.70537299989	GIT	600.0	r	19.58981123991673	0.0988122298618743
2023-12-08 17:06:34.733	60286.712902000174	GIT	600.0	g	19.97520515085952	0.091697644499862
2023-12-08 19:08:28.406	60286.797551000025	GIT	600.0	r	19.556052453195782	0.1117947491444032
2023-12-08 19:19:21.331	60286.80510800006	GIT	600.0	g	19.808695142961493	0.1092933302373484
2023-12-09 17:44:57.293	60287.73955200007	GIT	1200.0	i	19.903319025737893	0.1135187857653721
2023-12-09 18:01:05.405	60287.75075699994	GIT	600.0	r	19.65641501882363	0.1091277040514769
2023-12-09 18:11:54.355	60287.75826800009	GIT	600.0	g	19.90444091787901	0.1080796472848816
2023-12-10 19:08:09.744	60288.79733499978	GIT	1200.0	i	19.95521694649556	0.0900764907194161
2023-12-10 19:24:28.138	60288.80865899986	GIT	600.0	r	19.80014003904112	0.0919406864770957
2023-12-10 19:35:24.173	60288.81625200016	GIT	600.0	g	19.98904651712621	0.0888386065652886
2023-12-12 14:37:42.010	60290.60951399989	GIT	600.0	r	19.797258321447856	0.1175221411178352
2023-12-12 14:48:36.662	60290.61709100008	GIT	600.0	g	20.22461354936684	0.0934669891889494
2023-12-12 19:04:08.602	60290.79454400018	GIT	600.0	r	19.873534987063053	0.1057328267113438
2023-12-13 16:14:39.754	60291.67684900016	GIT	600.0	r	19.991095994633504	0.1561849048611349
2023-12-13 16:26:11.126	60291.684851000085	GIT	600.0	g	20.116087433188245	0.145207489458548
2023-12-14 15:52:33.600	60292.66149999993	GIT	1200.0	i	20.291581002913546	0.1088400491516508
2023-12-14 16:08:52.598	60292.67283099983	GIT	600.0	r	20.00372869899188	0.1104309248500719
2023-12-14 16:19:48.720	60292.68042499991	GIT	600.0	g	20.208520188262906	0.0866591492569285
2023-12-16 18:33:14.630	60294.77308599977	GIT	600.0	r	20.147405846462235	0.10313316369359
2023-12-16 18:44:08.506	60294.78065400012	GIT	600.0	g	20.164844303355192	0.0937154303082907
2023-12-12 18:47:50.122	60290.78321899986	GIT	1200.0	i	20.22143933767124	0.1321862913623677
2023-12-13 15:58:09.350	60291.66538600018	GIT	1200.0	i	20.198596230070216	0.160820697980313
2023-12-16 18:17:02.026	60294.76182899997	GIT	1200.0	i	20.130612035533428	0.1266184165717247
2023-12-17 15:25:04.829	60295.64241700014	GIT	900.0	i	20.40577918801265	0.0969619892157264
2023-12-17 17:48:54.115	60295.74229300022	GIT	600.0	r	20.15958418838293	0.1046711678873056
2023-12-17 17:59:45.226	60295.74982899986	GIT	600.0	g	20.4679215323507	0.0948904726714433
2023-12-18 13:05:29.731	60296.54548300011	GIT	1200.0	i	20.345667540866245	0.1066755283409548
2023-12-18 13:22:43.248	60296.557444999926	GIT	600.0	r	20.11361111549648	0.1015039914986761
2023-12-18 13:33:39.024	60296.56503499998	GIT	600.0	g	20.36133327383189	0.1039815638143207
2023-12-19 14:48:07.027	60297.61674800003	GIT	1200.0	i	20.156879620051	0.1037057512141225
2023-12-19 15:04:32.160	60297.62814999977	GIT	600.0	r	19.97472127639534	0.0948434096714747
