#Obs_ID	Date(UT)	UV_mag_AB	mag_error	Exposure (s)	Count_rate(10^-3 count/s)	count_rate_error	Exposure (s)
#============================================================================================================================================
#AstroSat	-	UVIT_F148W	-		SXT(0.3-2.0)keV	-	
#----------------------------------------------------------------------------------------
32613214	2024-12-22.75	21.66	0.24	1340	-	-	-
32613214	2024-12-22.83	>21.42	-	309	-	-	-
32613215	2024-12-23.79	21.47	0.22	1344	43.33	3.73	3793
32613215	2024-12-23.86	21.73	0.28	1339	-	-	-
32613215	2024-12-23.93	21.70	0.28	1059	-	-	-
32613216	2024-12-24.32	21.64	0.22	1625	34.41	3.30	3988
32613216	2024-12-24.39	21.87	0.27	1625	-	-	-
32613216	2024-12-24.45	21.01	0.20	690	-	-	-
32613217	2024-12-25.23	21.87	0.27	1634	17.02	2.75	3306
32613217	2024-12-25.37	>22.24	-	1629	-	-	-
32613218	2024-12-26.54	>22.03	-	1630	19.59	2.74	3441
32613218	2024-12-26.60	21.53	0.23	1599	-	-	-
32613219	2024-12-27.45	>22.02	-	1603	7.84	2.11	2759
32613219	2024-12-27.58	>21.34	-	629	-	-	-
32613219	2024-12-27.71	>22.02	-	1632	-	-	-
32613220	2024-12-28.51	>21.87	-	663	< 52.8	-	732
32613221	2024-12-29.48	>21.95	-	1428	< 8.32	-	4388
32613221	2024-12-29.54	>21.99	-	1610	-	-	-
32613221	2024-12-29.61	>22.02	-	1534	-	-	-
32613222	2024-12-30.13	>21.98	-	1630	< 8.38	-	4378
32613222	2024-12-30.52	>21.96	-	1126	-	-	-
32613222	2024-12-30.59	>22.02	-	1564	-	-	-
32613223	2024-12-31.50	>21.69	-	823	< 14.11	-	3471
32613223	2024-12-31.56	>21.74	-	1155	-	-	-
32613223	2024-12-31.64	>21.94	-	974	-	-	-
32613223	2024-12-31.70	>21.50	-	587	-	-	-
32613224	2025-01-01.55	>22.06	-	1566	< 3.94	-	5307
32613224	2025-01-01.62	>21.61	-	450	-	-	-
32613224	2025-01-01.68	>22.08	-	1635	-	-	-
32613224	2025-01-01.75	>22.07	-	1635	-	-	-
